Period,Window,Factor,Type,Ann_Return,Ann_Volatility,Sharpe_Ratio,Max_Drawdown
In-Sample (2010-2019),63d,mkt_rf,VMP_Gross,0.06014499203794146,0.2572792002695111,0.233773239247234,0.562544703010444
In-Sample (2010-2019),63d,mkt_rf,VMP_Net,0.05362207438811084,0.2572265259061599,0.20846246007953698,0.5731274088103344
In-Sample (2010-2019),63d,smb,Original,0.09954360761295747,0.1143070339665554,0.8708441130760379,0.3730942331852552
In-Sample (2010-2019),63d,smb,VMP_Gross,0.06994767097393781,0.1400281954789305,0.4995256186420153,0.5727606667712866
In-Sample (2010-2019),63d,smb,VMP_Net,0.06185028783262013,0.14005592812920276,0.44161135239889826,0.5829606678522975
In-Sample (2010-2019),63d,hml,Original,-0.011477100383991124,0.1039135404203012,-0.1104485549964852,0.32041037036827635
In-Sample (2010-2019),63d,hml,VMP_Gross,0.009890447314919504,0.11227887141201605,0.08808823236765302,0.4591066534997618
In-Sample (2010-2019),63d,hml,VMP_Net,0.002345624985331174,0.11224355798287346,0.020897635708314575,0.4725017138752773
In-Sample (2010-2019),63d,rmw,Original,-0.004225820358945799,0.13782335530103054,-0.030661133954516355,0.5414989833832772
In-Sample (2010-2019),63d,rmw,VMP_Gross,0.028182724517770465,0.14769153877667474,0.19082152404401265,0.6147456613742814
In-Sample (2010-2019),63d,rmw,VMP_Net,0.020376441976704265,0.14766132218494138,0.1379944434682996,0.6224013162103437
In-Sample (2010-2019),63d,cma,Original,-0.006409921513656608,0.08786912286591242,-0.07294850915307415,0.3292217693779286
In-Sample (2010-2019),63d,cma,VMP_Gross,0.04192089408456907,0.11490584956152701,0.3648281984297264,0.3787636642405372
In-Sample (2010-2019),63d,cma,VMP_Net,0.03488310362939728,0.1149341112349944,0.3035052279481698,0.3921448069678653
In-Sample (2010-2019),63d,umd,Original,-0.006354017333295112,0.15525792338494152,-0.0409255591905681,0.6232864809148214
In-Sample (2010-2019),63d,umd,VMP_Gross,0.09513028126243371,0.17460240739911098,0.544839459429573,0.5645799052499687
In-Sample (2010-2019),63d,umd,VMP_Net,0.08830319348353038,0.17461340912994566,0.5057068292952002,0.5713400571783543
Out-of-Sample (2020-2025),63d,mkt_rf,Original,0.08138905686059562,0.19509521053428763,0.41717608872972123,0.3456758643867941
Out-of-Sample (2020-2025),63d,mkt_rf,VMP_Gross,-0.01965266896046685,0.32714805277043685,-0.06007270651327193,0.7717228938368513
Out-of-Sample (2020-2025),63d,mkt_rf,VMP_Net,-0.02860021035118165,0.3271652207412246,-0.08741824783937942,0.776713191247757
Out-of-Sample (2020-2025),63d,smb,Original,0.08130916470965745,0.1588300936873913,0.5119254344185542,0.32864439183754257
Out-of-Sample (2020-2025),63d,smb,VMP_Gross,0.045325373749205096,0.11858015574459947,0.3822340548011075,0.31923637645261155
Out-of-Sample (2020-2025),63d,smb,VMP_Net,0.03972518251093621,0.11857711559458597,0.3350155914295995,0.3220887104245996
Out-of-Sample (2020-2025),63d,hml,Original,0.0338551809487247,0.12630087678953061,0.2680518283744095,0.2489500344456569
Out-of-Sample (2020-2025),63d,hml,VMP_Gross,0.020364762899553225,0.08029518040976098,0.25362372679939343,0.21096512419710542
Out-of-Sample (2020-2025),63d,hml,VMP_Net,0.016491717267681633,0.08030646975814892,0.20535975890047356,0.21435156179079587
Out-of-Sample (2020-2025),63d,rmw,Original,-0.018013756062696663,0.13271479124685742,-0.13573284404441402,0.45489472829803623
Out-of-Sample (2020-2025),63d,rmw,VMP_Gross,-0.0032857558364107167,0.13884951012405852,-0.02366415145055231,0.45907207106580666
Out-of-Sample (2020-2025),63d,rmw,VMP_Net,-0.010403930648523822,0.13891724735546196,-0.07489300894295872,0.47479776621619496
Out-of-Sample (2020-2025),63d,cma,Original,0.006150306840034831,0.13186865950625035,0.046639640253136244,0.3932938458094809
Out-of-Sample (2020-2025),63d,cma,VMP_Gross,-0.0032896277561456303,0.08286691203163354,-0.03969772343984353,0.31353785713017057
Out-of-Sample (2020-2025),63d,cma,VMP_Net,-0.007832055542416685,0.08285328158293266,-0.09452921348175118,0.31706309989831083
Out-of-Sample (2020-2025),63d,umd,Original,0.03685294828476052,0.18595038819312676,0.19818699300850776,0.5224016640031005
Out-of-Sample (2020-2025),63d,umd,VMP_Gross,0.08035632268639202,0.14331211605401545,0.5607085074098348,0.352753113815562
Out-of-Sample (2020-2025),63d,umd,VMP_Net,0.07508868854999606,0.14331179564563262,0.523953302041292,0.3579765407364866
Crash_2015 (股灾),63d,mkt_rf,Original,-0.7074633456867471,0.5855643050649827,-1.2081736191351977,0.5310056996533085
Crash_2015 (股灾),63d,mkt_rf,VMP_Gross,-0.2207235796760386,0.12370629617681726,-1.7842550177118834,0.19392661842241482
Crash_2015 (股灾),63d,mkt_rf,VMP_Net,-0.22233810580464045,0.12370130054407526,-1.797378886290856,0.19472502470427816
Crash_2015 (股灾),63d,smb,Original,0.27188794763132523,0.2225555983075177,1.2216630347606094,0.22567724531519215
Crash_2015 (股灾),63d,smb,VMP_Gross,0.008330832865301197,0.06863346621704976,0.12138149687727227,0.0890671243499627
Crash_2015 (股灾),63d,smb,VMP_Net,0.006254471399721515,0.0686582928889023,0.09109564389901205,0.08933624606913511
