Period,Window,Factor,Alpha_Ann,t_stat,p_value,Beta,R_squared
Crash_2018 (贸易战),63d,cma,0.012151756617966697,0.5753784206153925,0.5650353952280487,0.721434296257466,0.9216321180682038
Crash_2018 (贸易战),63d,umd,0.07931676183552192,1.5193087563063958,0.12868479669948268,0.8320598788810563,0.8990345981330948
Crash_2022 (俄乌/疫情),63d,mkt_rf,-0.3298638584466285,-2.8069957147693483,0.005000590691017704,1.2898791356493555,0.8201522145839975
Crash_2022 (俄乌/疫情),63d,smb,-0.003715889776727551,-0.19769090946678275,0.8432869025461432,0.6395190093104489,0.9520615945013862
Crash_2022 (俄乌/疫情),63d,hml,0.0071074770216459915,0.4845732374582511,0.6279791015617664,0.4246950812839356,0.9401702623677887
Crash_2022 (俄乌/疫情),63d,rmw,-0.006740593312206767,-0.1791689236176906,0.8578050642164039,1.0777311540415782,0.9065982009930212
Crash_2022 (俄乌/疫情),63d,cma,0.017947710020483197,1.0629078926338251,0.2878237234109252,0.43042305385521157,0.9206023006622731
Crash_2022 (俄乌/疫情),63d,umd,-0.035469474667442664,-0.8476115057197301,0.3966543645103432,0.8269041494743893,0.898106055661883
Full (2005-2025),126d,mkt_rf,0.013109035041746445,0.2972343855792193,0.7662875715855118,0.7282287978996661,0.5604035412002217
Full (2005-2025),126d,smb,-0.023695243195596103,-1.2009701834725535,0.22976276754963165,0.8487262112029781,0.7202856163004461
Full (2005-2025),126d,hml,0.002281230982616233,0.14503780413658637,0.8846810239662396,0.8158191019889894,0.6791444542848661
Full (2005-2025),126d,rmw,0.01364747484205259,0.6942597016395707,0.48751935820046155,0.8453100546661301,0.7147894377940665
Full (2005-2025),126d,cma,0.008625158793853465,0.5737958423289771,0.5661059625715528,0.8022968082792141,0.6839664517804072
Full (2005-2025),126d,umd,0.06101532131801189,2.9716484220677866,0.002962056639250223,0.8478320597251159,0.7576618334301151
In-Sample (2010-2019),126d,mkt_rf,0.03708898449757727,0.6393335674900006,0.5226059558851135,0.8067627870173641,0.5957665945718833
In-Sample (2010-2019),126d,smb,-0.04686091641968046,-1.513133587433492,0.13024572954451805,1.0688176730864776,0.7538370960136838
In-Sample (2010-2019),126d,hml,0.010364771419780592,0.4401922753351062,0.6597978540008846,0.8971842378097041,0.6942457488690568
In-Sample (2010-2019),126d,rmw,0.009860270071806966,0.30664797907859676,0.7591113298239957,0.8705921458802846,0.6604549562056632
In-Sample (2010-2019),126d,cma,0.0536680491958451,2.4627462415180874,0.013787745996974918,1.158064122409197,0.7322489011999352
In-Sample (2010-2019),126d,umd,0.08620870700611385,2.475241015952756,0.013314628948794741,0.9481721846190129,0.7089640764023273
Out-of-Sample (2020-2025),126d,mkt_rf,-0.11764639091687135,-2.0070760502102045,0.044741565917967796,1.493856261073133,0.8411280147128614
Out-of-Sample (2020-2025),126d,smb,-0.029248212813587308,-0.9005779134910175,0.36781278216680746,0.636172724718452,0.6771815430960453
Out-of-Sample (2020-2025),126d,hml,-0.014377261702556066,-0.8724179525249224,0.38298041023996043,0.6007872083472773,0.838290900492334
Out-of-Sample (2020-2025),126d,rmw,0.04419969121000795,1.4998322075193256,0.1336578721650257,0.9554187348483071,0.805137050503721
Out-of-Sample (2020-2025),126d,cma,-0.05032148904611271,-2.458090480031585,0.01396779782044508,0.549992721355041,0.7571945929272796
Out-of-Sample (2020-2025),126d,umd,0.045959445339161305,1.5134687993827642,0.13016062066106185,0.7035114929380578,0.803705026341264
Crash_2015 (股灾),126d,mkt_rf,-0.047735994089972665,-0.5838653492725393,0.5593109075062209,0.23033242786518987,0.8305237859104088
Crash_2015 (股灾),126d,smb,-0.08840941910922005,-1.9252551821381851,0.05419744158454984,0.3422170195570494,0.9160595077565088
Crash_2015 (股灾),126d,hml,0.009273488263550124,0.7675189195884832,0.44277304878232837,0.21927537450120282,0.9442921585885925
Crash_2015 (股灾),126d,rmw,0.11690435983292771,1.4550149307096558,0.14566512807722964,0.26389017465577064,0.7863419892621619
Crash_2015 (股灾),126d,cma,0.0445812846366987,1.4422466627119261,0.14923280102223216,0.4120912792598406,0.8783992693952725
Crash_2015 (股灾),126d,umd,-0.051957631131070464,-1.7044438697663717,0.0882981939883696,0.40608328313384123,0.944092390802813
Crash_2018 (贸易战),126d,mkt_rf,-0.04183637429475776,-0.26355902982991347,0.7921197319512908,1.455909368616823,0.8345959233609878
Crash_2018 (贸易战),126d,smb,-0.06057852363823183,-2.747382473340666,0.006007303447990656,1.2169997972873978,0.9783643999894109
Crash_2018 (贸易战),126d,hml,0.006556301571180237,0.15278878065749557,0.8785648455882665,0.9091075597838867,0.8984907711369259
Crash_2018 (贸易战),126d,rmw,0.04469626528497544,1.7338614338395775,0.08294267215598171,0.7979774733917749,0.9577284424328387
Crash_2018 (贸易战),126d,cma,0.0030554389663768207,0.28120049625036214,0.7785566240595556,0.8329146393727747,0.9787587441398131
Crash_2018 (贸易战),126d,umd,0.055157049827571046,1.541360662543964,0.12322903237638791,0.8606479798852105,0.9540271421638858
Crash_2022 (俄乌/疫情),126d,mkt_rf,-0.19455149827910462,-2.122620948932695,0.033785628053461886,1.4462294110706875,0.9069143647843263
Crash_2022 (俄乌/疫情),126d,smb,-0.013365277288362265,-0.882745393506096,0.3773738501597397,0.7043237357306544,0.9723841862226522
Crash_2022 (俄乌/疫情),126d,hml,-0.009851648487435544,-0.7776996035977721,0.436746125945931,0.3883294689364679,0.94826497233133
Crash_2022 (俄乌/疫情),126d,rmw,0.020594826776937265,0.9213004517450369,0.35689358533554283,0.9897301286673783,0.9415658065985258
Crash_2022 (俄乌/疫情),126d,cma,-0.0067786758582794385,-0.5889997898220151,0.5558614146007748,0.3787699591110293,0.9482352085548292
Crash_2022 (俄乌/疫情),126d,umd,-0.03866716325626299,-0.9302467778894051,0.35224332716288553,0.7381185468247585,0.8877009007725375
